,ANÁLISIS / ANALYSES,UNIDADES / UNIT,MIN,MAX,MÉTODO / METHOD,RESULTADOS DE CALIDAD / QUALITY RESULTS,CLIENTE,PRODUCTO,FECHA,NUM PAGINA,ARCHIVO,INCERTIDUMBRE/ UNCERTAINTY %
15,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
16,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0004,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
17,COLOR,,Incoloro,,,Amarillo,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
18,OLOR,1,Comerciable,,,Comerciable,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
19,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7386,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
20,GRAVEDAD API @ 60 ° F,-,Reportar,-,ASTM D-1298,60.0,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
21,INDICE ANTIDETONANTE,,Reportar,,Calculo,91.7,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
22,NUMERO DE OCTANO METODO RESEARCH (RON),,95.0,,ASTM D-2699,96.3,ATLANTIC BONAO I (ANIANA),GASOLINA PREMIUM,2023-04-07 15:12:00,2,2023 07 014.pdf,
23,NUMERO DE OCTANO METODO MOTOR (MON),,82.0,1,ASTM D-2700,87.7,ATLANTIC BONAO I (ANIANA),GASOLINA PREMIUM,2023-04-07 15:12:00,2,2023 07 014.pdf,
24,NUMERO DE OCTANO METODO RESEARCH (RON),-,89,,ASTM D-2699,91.8,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
25,NUMERO DE OCTANO METODO MOTOR (MON),,76,-,ASTM D-2700,82.2,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
26,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
27,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.66,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
28,RVP + 0.1 E 70 °C,-,Reportar,,Calculo,11.70,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
29,DESTILACION 10% VOL. RECUPERADO,·C,,75,ASTM D86,53,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
30,DESTILACION 50% VOL. RECUPERADO,℃,,121,ASTM D86,93,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
31,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,159,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
32,PUNTO FINAL,℃,,225,ASTM D86,186,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
33,RESIDUO,% Vol.,,"2,0",ASTM D86,0.5,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
34,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,30.43,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
35,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,1,4,ASTM D-381,0.5,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
36,PERIODO DE INDUCCION,Minutos,240,.,ASTM D-525,>240,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
37,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
38,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
39,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
40,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0006,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
41,COLOR,,Naranja,,,Naranja,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
42,OLOR,.,Comerciable,,,Comerciable,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
43,DENSIDAD @ 15 °℃,Kg/L,Reportar,-,ASTM D-1298,0.7386,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
44,GRAVEDAD API @ 60 ° F,-,Reportar,,ASTM D-1298,60.0,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
45,INDICE ANTIDETONANTE,-,Reportar,,Calculo,87.0,ATLANTIC BONAO I (ANIANA),GASOLINA REGULAR,2023-04-07 15:12:00,3,2023 07 014.pdf,
46,NUMERO DE OCTANO METODO RESEARCH (RON),,95,1,ASTM D-2699,95.4,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
47,NUMERO DE OCTANO METODO MOTOR (MON),,82,,ASTM D-2700,86.4,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
48,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
49,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.85,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
50,RVP + 0.1 E 70 ° C,-,Reportar,,Calculo,11.24,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
51,DESTILACION 10% VOL. RECUPERADO,o 0,,75,ASTM D86,57,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
52,DESTILACION 50% VOL. RECUPERADO,,,121,ASTM D86,102,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
53,DESTILACION 90% VOL. RECUPERADO,℃,1,190,ASTM D86,159,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
54,PUNTO FINAL,°C,,225,ASTM D86,203,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
55,RESIDUO,% Vol.,,"2,0",ASTM D86,0.7,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
56,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,23.89,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
57,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,N/D,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
58,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
59,CONTENIDO DE AZUFRE,% en Peso,1,0.15,ASTM D-4294,N/D,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
60,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
61,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
62,MERCAPTANO COMO AZUFRE,% Peso,.,0.0015,ASTM D-3227,0.0003,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
63,COLOR,,Incoloro,,,Amarillo,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
64,OLOR,,Comerciable,,,Comerciable,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
65,DENSIDAD @ 15 °℃,Kg/L,Reportar,,ASTM D-1298,0.7311,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
66,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,62.0,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
67,INDICE ANTIDETONANTE,-,Reportar,,Calculo,90.9,TEXACO CHACHASES,GASOLINA PREMIUM,2023-06-07 20:39:00,1,2023 07 028.pdf,
68,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,92.5,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
69,NUMERO DE OCTANO METODO MOTOR (MON),,76,,ASTM D-2700,82.6,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
70,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
71,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,9.05,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
72,RVP + 0.1 E 70 ° C,,Reportar,,Calculo,12.47,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
73,DESTILACION 10% VOL. RECUPERADO,0,1,75,ASTM D86,54,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
74,DESTILACION 50% VOL. RECUPERADO,U,,121,ASTM D86,91,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
75,DESTILACION 90% VOL. RECUPERADO,℃,1,190,ASTM D86,162,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
76,PUNTO FINAL,℃,.,225,ASTM D86,204,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
77,RESIDUO,% Vol.,,"2,0",ASTM D86,0.8,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
78,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,34.17,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
79,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,0.7,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
80,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
81,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
82,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
83,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
84,MERCAPTANO COMO AZUFRE,% Peso,.,0.0015,ASTM D-3227,0.0006,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
85,COLOR,,Naranja,,,Naranja,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
86,OLOR,,Comerciable,,,Comerciable,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
87,DENSIDAD @ 15 °C,Kg/L,Reportar,,ASTM D-1298,0.7425,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
88,GRAVEDAD API @ 60 ° F,,Reportar,-,ASTM D-1298,59.0,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
89,INDICE ANTIDETONANTE,,Reportar,,Calculo,87.5,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,2,2023 07 028.pdf,
90,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,92.0,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,3,2023 07 028.pdf,
91,NUMERO DE OCTANO METODO MOTOR (MON),,76,,ASTM D-2700,82.4,TEXACO CHACHASES,GASOLINA REGULAR,2023-06-07 20:39:00,3,2023 07 028.pdf,
92,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,94.4,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
93,NUMERO DE OCTANO METODO MOTOR (MON),,82,.,ASTM D-2700,85.4,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
94,CONTENIDO DE PLOMO,,-,0.02,ASTM D-3237,N/D,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
95,PRESION A VAPOR REID (RVP) @ 100 º F,,,10.0,ASTM D-323,8.85,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
96,RVP + 0.1 E 70 °℃,,Reportar,-,Calculo,11.71,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
97,DESTILACION 10% VOL RECUPERADO,,,75,ASTM D86,60,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
98,DESTILACION 50% VOL RECUPERADO,,,121,ASTM D86,97,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
99,DESTILACION 90% VOL. RECUPERADO,,,190,ASTM D86,171,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
100,PUNTO FINAL,,,225,ASTM D86,215,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
101,RESIDUO,,,"2,0",ASTM D86,0.5,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
102,RECUPERADO @ 70 °C,,Reportar,,ASTM D86,28.06,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
103,CONTENIDO DE GOMAS EXISTENTES,,-,4,ASTM D-381,N/D,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
104,PERIODO DE INDUCCION,,240,.,ASTM D-525,>240,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
105,CONTENIDO DE AZUFRE,,,0.15,ASTM D-4294,N/D,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
106,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° ℃),,,No. 1,ASTM D-130,1A,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
107,PRUEBA DOCTOR,,Negativo,,IP-30,Negativo,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
108,MERCAPTANO COMO AZUFRE,,,0.0015,ASTM D-3227,0.0004,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
109,COLOR,,Incoloro,,,Amarillo,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
110,OLOR,,Comerciable,,,Comerciable,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
111,DENSIDAD @ 15 ℃,,Reportar,,ASTM D-1298,0.7386,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
112,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,60.0,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
113,INDICE ANTIDETONANTE,,Reportar,,Calculo,89.9,SHELL NIZAO,GASOLINA PREMIUM,2023-02-05 07:09:00,1,2023 04 100.pdf,
114,NUMERO DE OCTANO METODO RESEARCH (RON),.,89,.,ASTM D-2699,91.3,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
115,NUMERO DE OCTANO METODO MOTOR (MON),.,76,1,ASTM D-2700,82.6,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
116,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
117,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.70,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
118,RVP + 0.1 E 70°C,.,Reportar,.,Calculo,11.48,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
119,DESTILACIÓN 10% VOL RECUPERADO,,,75,ASTM D86,53,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
120,DESTILACION 50% VOL. RECUPERADO,°C,,121,ASTM D86,96,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
121,DESTILACION 90% VOL RECUPERADO,℃,-,190,ASTM D86,160,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
122,PUNTO FINAL,,.,225,ASTM D86,191,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
123,RESIDUO,% Vol.,-,"2,0",ASTM D86,0.8,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
124,RECUPERADO @ 70 °C,% Vol.,Reportar,",",ASTM D86,27.75,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
125,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,1.0,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
126,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
127,CONTENIDO DE AZUFRE,% Peso,.,0.15,ASTM D-4294,N/D,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
128,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
129,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
130,MERCAPTANO COMO AZUFRE,% Peso,-,0.0015,ASTM D-3227,0.0007,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
131,COLOR,,Naranja,,,Rojo,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
132,OLOR,,Comerciable,,,Comerciable,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
133,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7386,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
134,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,60.0,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
135,INDICE ANTIDETONANTE,,Reportar,,Calculo,86.9,SHELL NIZAO,GASOLINA REGULAR,2023-02-05 07:09:00,2,2023 04 100.pdf,
136,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,91.5,SHELL NIZAO,: GASOLINA REGULAR,2023-02-05 07:09:00,3,2023 04 100.pdf,
137,NUMERO DE OCTANO METODO MOTOR (MON),.,76,-,ASTM D-2700,82.6,SHELL NIZAO,: GASOLINA REGULAR,2023-02-05 07:09:00,3,2023 04 100.pdf,
138,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,94.7,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
139,NUMERO DE OCTANO METODO MOTOR (MON),-,82,,ASTM D-2700,85.7,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
140,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
141,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.11,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
142,RVP + 0.1 E 70 °C,-,Reportar,",",Calculo,10.11,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
143,DESTILACION 10% VOL. RECUPERADO,0 U,ʻ,75,ASTM D86,58,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
144,DESTILACION 50% VOL. RECUPERADO,·℃,,121,ASTM D86,109,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
145,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,168,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
146,PUNTO FINAL,℃,,225,ASTM D86,212,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
